order_id,order_placement_date,customer_id,product_id,order_qty
FJUN682971,"Monday, June 01, 2026",789722,25891317,375
FJUN682971,"Monday, June 01, 2026",789674,25891658,168
FJUN944898,"Monday, June 01, 2026",789665,25891277,421
FJUN245283,"Monday, June 01, 2026",789451,25891460,204
FJUN235768,"Monday, June 01, 2026",789400,25891624,127
FJUN773572,"Monday, June 01, 2026",789853,25891239,448
FJUN880526,"Monday, June 01, 2026",789994,25891146,57
FJUN768014,"Monday, June 01, 2026",789451,25891325,299
FJUN880526,"Monday, June 01, 2026",789318,25891355,210
FJUN680738,"Monday, June 01, 2026",789662,25891525,311
FJUN286338,"Monday, June 01, 2026",789626,25891200,534
FJUN880526,"Monday, June 01, 2026",789901,25891624,570
FJUN720443,"Monday, June 01, 2026",789276,25891388,312
FJUN773572,"Monday, June 01, 2026",789832,25891480,320
FJUN692662,"Monday, June 01, 2026",789626,25891172,524
FJUN322640,"Monday, June 01, 2026",789967,25891281,584
FJUN480737,"Monday, June 01, 2026",789626,25891474,595
FJUN599423,"Monday, June 01, 2026",789662,25891358,572
FJUN153800,"Monday, June 01, 2026",789783,25891063,397
FJUN322640,"Monday, June 01, 2026",789162,25891600,333
FJUN126465,"Monday, June 01, 2026",789262,25891545,184
FJUN773572,"Monday, June 01, 2026",789684,25891306,328
FJUN480737,"Monday, June 01, 2026",789832,25891478,231
FJUN322640,"Monday, June 01, 2026",789412,25891423,177
FJUN594630,"Monday, June 01, 2026",789552,25891382,598
FJUN682971,"Monday, June 01, 2026",789580,25891614,372
FJUN480737,"Monday, June 01, 2026",789219,25891101,521
FJUN692662,"Monday, June 01, 2026",789849,25891326,271
FJUN126465,"Monday, June 01, 2026",789605,25891494,250
FJUN371114,"Monday, June 01, 2026",789722,25891460,216
FJUN599423,"Monday, June 01, 2026",789542,25891522,555
FJUN153800,"Monday, June 01, 2026",789684,25891297,349
FJUN512424,"Monday, June 01, 2026",789557,25891072,443
FJUN478591,"Monday, June 01, 2026",789223,25891495,144
FJUN910127,"Monday, June 01, 2026",789806,25891450,123
FJUN720443,"Monday, June 01, 2026",789328,25891374,92
FJUN478591,"Monday, June 01, 2026",789109,25891058,49
FJUN245283,"Monday, June 01, 2026",789524,25891526,588
FJUN371114,"Monday, June 01, 2026",789356,25891624,203
FJUN464657,"Monday, June 01, 2026",789959,25891007,339
FJUN880526,"Monday, June 01, 2026",789535,25891406,248
FJUN682183,"Monday, June 01, 2026",789588,25891326,549
FJUN910127,"Monday, June 01, 2026",789728,25891540,238
FJUN555278,"Monday, June 01, 2026",789378,25891389,549
FJUN512424,"Monday, June 01, 2026",789783,25891082,282
FJUN682183,"Monday, June 01, 2026",789101,25891048,387
FJUN680738,"Monday, June 01, 2026",789688,25891453,410
FJUN235768,"Monday, June 01, 2026",789535,25891593,238
FJUN464657,"Monday, June 01, 2026",789673,25891663,304
FJUN464657,"Monday, June 01, 2026",789674,25891487,149
FJUN680738,"Monday, June 01, 2026",789832,25891263,198
FJUN555278,"Monday, June 01, 2026",789626,25891688,104
FJUN773572,"Monday, June 01, 2026",789812,25891557,164
FJUN245283,"Monday, June 01, 2026",789136,25891285,144
FJUN873493,"Monday, June 01, 2026",789100,25891286,516
FJUN245283,"Monday, June 01, 2026",789726,25891266,49
FJUN682971,"Monday, June 01, 2026",789328,25891395,252
FJUN649533,"Monday, June 01, 2026",789178,25891187,577
FJUN692662,"Monday, June 01, 2026",789412,25891581,139
FJUN555278,"Monday, June 01, 2026",789474,25891187,375
FJUN371114,"Monday, June 01, 2026",789328,25891581,97
FJUN397942,"Monday, June 01, 2026",789498,25891072,528
FJUN944898,"Monday, June 01, 2026",789434,25891505,535
FJUN910127,"Monday, June 01, 2026",789504,25891339,583
FJUN692662,"Monday, June 01, 2026",789126,25891642,474
FJUN175473,"Monday, June 01, 2026",789498,25891503,542
FJUN480737,"Monday, June 01, 2026",789770,25891200,188
FJUN680738,"Monday, June 01, 2026",789644,25891390,422
FJUN397942,"Monday, June 01, 2026",789901,25891371,416
FJUN126465,"Monday, June 01, 2026",789248,25891318,524
FJUN728245,"Monday, June 01, 2026",789296,25891092,126
FJUN768014,"Monday, June 01, 2026",789949,25891632,126
FJUN680738,"Monday, June 01, 2026",789414,25891505,120
FJUN599423,"Monday, June 01, 2026",789438,25891207,537
FJUN478591,"Monday, June 01, 2026",789600,25891032,225
FJUN873493,"Monday, June 01, 2026",789220,25891094,31
FJUN773572,"Monday, June 01, 2026",789557,25891648,355
FJUN682971,"Monday, June 01, 2026",789832,25891078,119
FJUN720443,"Monday, June 01, 2026",789248,25891443,140
FJUN692662,"Monday, June 01, 2026",789812,25891471,417
FJUN682971,"Monday, June 01, 2026",789527,25891324,512
FJUN728245,"Monday, June 01, 2026",789619,25891423,83
FJUN680738,"Monday, June 01, 2026",789796,25891386,452
FJUN880526,"Monday, June 01, 2026",789378,25891133,373
FJUN880526,"Monday, June 01, 2026",789967,25891336,240
FJUN322640,"Monday, June 01, 2026",789302,25891187,472
FJUN175473,"Monday, June 01, 2026",789588,25891139,302
FJUN286338,"Monday, June 01, 2026",789591,25891665,304
FJUN126465,"Monday, June 01, 2026",789548,25891494,230
FJUN809784,"Monday, June 01, 2026",789942,25891052,148
FJUN555278,"Monday, June 01, 2026",789182,25891325,413
FJUN286338,"Monday, June 01, 2026",789963,25891216,228
FJUN649533,"Monday, June 01, 2026",789307,25891644,409
FJUN649533,"Monday, June 01, 2026",789723,25891355,338
FJUN682971,"Monday, June 01, 2026",789382,25891143,249
FJUN464657,"Monday, June 01, 2026",789605,25891395,303
FJUN649533,"Monday, June 01, 2026",789605,25891502,525
FJUN880526,"Monday, June 01, 2026",789514,25891665,355
FJUN322640,"Monday, June 01, 2026",789302,25891371,200
FJUN464657,"Monday, June 01, 2026",789490,25891305,551
FJUN245283,"Monday, June 01, 2026",789341,25891588,81
FJUN480737,"Monday, June 01, 2026",789574,25891642,472
FJUN235768,"Monday, June 01, 2026",789262,25891358,134
FJUN153800,"Monday, June 01, 2026",789228,25891627,444
